ctrl,m2,m1,m3,sim_time,log_time
0,5770.0,1770.0,,295.46,2021-04-04 01:56:11
0,9036.0,4021.0,,296.15,2021-04-04 02:08:07
0,12956.0,6484.0,,296.79,2021-04-04 02:19:38
0,14798.0,10974.0,,297.42,2021-04-04 02:30:46
0,16323.0,16140.0,,298.09,2021-04-04 02:42:37
0,16941.0,22604.0,,298.8,2021-04-04 02:54:07
0,17938.0,28496.0,,299.49,2021-04-04 03:05:35
0,17717.0,35681.0,,300.18,2021-04-04 03:22:00
0,17710.0,42704.0,,300.89,2021-04-04 03:33:58
0,17956.0,49646.0,,301.61,2021-04-04 03:45:26
0,17748.0,56896.0,,302.32,2021-04-04 03:57:15
0,17906.0,63598.0,,303.03,2021-04-04 04:08:56
0,17897.0,70387.0,,303.73,2021-04-04 04:20:33
0,18119.0,74747.0,,304.43,2021-04-04 04:31:59
0,18195.0,78034.0,2.0,305.13,2021-04-04 04:43:37
0,17833.0,81206.0,3.0,305.82,2021-04-04 04:55:05
0,17688.0,81328.0,,306.5,2021-04-04 05:06:48
0,17622.0,81481.0,,307.18,2021-04-04 05:18:22
0,17525.0,81580.0,,307.91,2021-04-04 05:29:47
0,17088.0,82033.0,,308.62,2021-04-04 05:41:26
0,16975.0,82196.0,1.0,309.33,2021-04-04 05:52:26
0,16884.0,82265.0,2.0,310.03,2021-04-04 06:04:14
0,16912.0,82227.0,4.0,310.73,2021-04-04 06:15:41
0,16941.0,82104.0,,311.44,2021-04-04 06:27:06
0,17116.0,81905.0,1.0,312.15,2021-04-04 06:38:46
0,17110.0,81954.0,,312.86,2021-04-04 06:50:15
0,16923.0,82184.0,3.0,313.52,2021-04-04 07:01:47
0,16948.0,82061.0,1.0,314.19,2021-04-04 07:13:41
0,17015.0,81919.0,1.0,314.84,2021-04-04 07:25:14
0,19343.0,82056.0,1.0,315.51,2021-04-04 07:36:53
0,21944.0,82679.0,8.0,316.17,2021-04-04 07:48:45
0,23509.0,84206.0,35.0,316.83,2021-04-04 08:00:26
0,24813.0,85982.0,30.0,317.49,2021-04-04 08:11:56
0,25611.0,88492.0,13.0,318.16,2021-04-04 08:24:03
0,26536.0,90641.0,10.0,318.81,2021-04-04 08:36:07
0,27338.0,92976.0,19.0,319.49,2021-04-04 08:47:46
0,28022.0,95536.0,54.0,320.18,2021-04-04 08:59:52
0,28564.0,98254.0,49.0,320.85,2021-04-04 09:11:43
0,28632.0,101202.0,36.0,321.52,2021-04-04 09:23:24
0,28657.0,104280.0,33.0,322.21,2021-04-04 09:35:33
0,28272.0,107556.0,36.0,322.83,2021-04-04 09:47:17
0,28251.0,110472.0,34.0,323.49,2021-04-04 09:59:18
0,28491.0,113272.0,31.0,324.18,2021-04-04 10:11:22
0,28674.0,115938.0,29.0,324.84,2021-04-04 10:23:01
0,28777.0,116613.0,27.0,325.38,2021-04-04 10:34:32
0,28940.0,116629.0,30.0,326.0,2021-04-04 10:46:09
0,29759.0,116773.0,80.0,326.63,2021-04-04 10:58:21
0,32574.0,117187.0,94.0,327.24,2021-04-04 11:10:11
0,34378.0,118666.0,88.0,327.86,2021-04-04 11:22:19
0,36420.0,119834.0,76.0,328.47,2021-04-04 11:34:34
0,38190.0,120861.0,59.0,329.01,2021-04-04 11:46:21
0,40036.0,121839.0,50.0,329.58,2021-04-04 11:58:02
0,41510.0,123272.0,46.0,330.17,2021-04-04 12:10:08
0,43141.0,124477.0,42.0,330.76,2021-04-04 12:21:58
0,44356.0,126374.0,45.0,331.36,2021-04-04 12:33:24
0,45308.0,128176.0,40.0,331.91,2021-04-04 12:45:00
0,46549.0,129777.0,41.0,332.48,2021-04-04 12:56:45
0,46821.0,132010.0,41.0,333.02,2021-04-04 13:08:04
0,46925.0,134060.0,38.0,333.54,2021-04-04 13:19:44
0,46823.0,136850.0,39.0,334.12,2021-04-04 13:31:29
0,46844.0,139189.0,47.0,334.65,2021-04-04 13:42:54
0,47030.0,141633.0,29.0,335.2,2021-04-04 13:54:36
